data,Region,region.en,total.positive,new.positives,total.cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil
2020-02-25T18:00:00,Puglia,Apulia,0,0,0,4029053,4.029053,0,0
2020-02-25T18:00:00,Sardegna,Sardinia,0,0,0,1639591,1.639591,0,0
2020-02-25T18:00:00,Sicilia,Sicily,3,3,3,4999891,4.999891,0.60001308,0.60001308
2020-02-25T18:00:00,Toscana,Tuscany,2,2,2,3729641,3.729641,0.536244641,0.536244641
2020-02-25T18:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,1,1,1,1072276,1.072276,0.932595712,0.932595712
2020-02-25T18:00:00,Umbria,Umbria,0,0,0,882015,0.882015,0,0
2020-02-25T18:00:00,Valle d'Aosta,Aosta,0,0,0,125666,0.125666,0,0
2020-02-25T18:00:00,Veneto,Veneto,42,10,43,4905854,4.905854,8.561200558,8.765038666
2020-02-26T18:00:00,Abruzzo,Abruzzo,0,0,0,1311580,1.31158,0,0
2020-02-26T18:00:00,Basilicata,Basilicata,0,0,0,562869,0.562869,0,0
2020-02-26T18:00:00,Calabria,Calabria,0,0,0,1947131,1.947131,0,0
2020-02-26T18:00:00,Campania,Campania,0,0,0,5801692,5.801692,0,0
2020-02-26T18:00:00,Emilia-Romagna,Emilia-Romagna,46,21,47,4459477,4.459477,10.31511094,10.53935248
2020-02-26T18:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,0,0,0,1215220,1.21522,0,0
2020-02-26T18:00:00,Lazio,Lazio,0,0,3,5879082,5.879082,0,0.510283748
2020-02-26T18:00:00,Liguria,Liguria,11,10,11,1550640,1.55064,7.093845122,7.093845122
2020-02-26T18:00:00,Lombardia,Lombardy,249,18,258,10060574,10.060574,24.75007887,25.64466004
2020-02-26T18:00:00,Marche,Marche,1,1,1,1525271,1.525271,0.655621198,0.655621198
2020-02-26T18:00:00,Molise,Molise,0,0,0,305617,0.305617,0,0
2020-02-26T18:00:00,Piemonte,Piedmont,3,0,3,4356406,4.356406,0.68864105,0.68864105
2020-02-26T18:00:00,Puglia,Apulia,0,0,0,4029053,4.029053,0,0
2020-02-26T18:00:00,Sardegna,Sardinia,0,0,0,1639591,1.639591,0,0
2020-02-26T18:00:00,Sicilia,Sicily,3,0,3,4999891,4.999891,0.60001308,0.60001308
2020-02-26T18:00:00,Toscana,Tuscany,2,0,2,3729641,3.729641,0.536244641,0.536244641
2020-02-26T18:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,1,0,1,1072276,1.072276,0.932595712,0.932595712
2020-02-26T18:00:00,Umbria,Umbria,0,0,0,882015,0.882015,0,0
2020-02-26T18:00:00,Valle d'Aosta,Aosta,0,0,0,125666,0.125666,0,0
2020-02-26T18:00:00,Veneto,Veneto,69,28,71,4905854,4.905854,14.06482949,14.4725057
2020-02-27T18:00:00,Abruzzo,Abruzzo,1,1,1,1311580,1.31158,0.762439195,0.762439195
2020-02-27T18:00:00,Basilicata,Basilicata,0,0,0,562869,0.562869,0,0
2020-02-27T18:00:00,Calabria,Calabria,0,0,0,1947131,1.947131,0,0
2020-02-27T18:00:00,Campania,Campania,3,3,3,5801692,5.801692,0.517090532,0.517090532
2020-02-27T18:00:00,Emilia-Romagna,Emilia-Romagna,96,50,97,4459477,4.459477,21.52718805,21.7514296
2020-02-27T18:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,0,0,0,1215220,1.21522,0,0
2020-02-27T18:00:00,Lazio,Lazio,0,0,3,5879082,5.879082,0,0.510283748
2020-02-27T18:00:00,Liguria,Liguria,19,8,19,1550640,1.55064,12.25300521,12.25300521
2020-02-27T18:00:00,Lombardia,Lombardy,349,145,403,10060574,10.060574,34.68986958,40.05735657
2020-02-27T18:00:00,Marche,Marche,3,2,3,1525271,1.525271,1.966863593,1.966863593
2020-02-27T18:00:00,Molise,Molise,0,0,0,305617,0.305617,0,0
2020-02-27T18:00:00,Piemonte,Piedmont,2,-1,2,4356406,4.356406,0.459094033,0.459094033
2020-02-27T18:00:00,Puglia,Apulia,1,1,1,4029053,4.029053,0.248197281,0.248197281
2020-02-27T18:00:00,Sardegna,Sardinia,0,0,0,1639591,1.639591,0,0
2020-02-27T18:00:00,Sicilia,Sicily,2,1,4,4999891,4.999891,0.40000872,0.80001744
2020-02-27T18:00:00,Toscana,Tuscany,2,0,2,3729641,3.729641,0.536244641,0.536244641
2020-02-27T18:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,1,0,1,1072276,1.072276,0.932595712,0.932595712
2020-02-27T18:00:00,Umbria,Umbria,0,0,0,882015,0.882015,0,0
2020-02-27T18:00:00,Valle d'Aosta,Aosta,0,0,0,125666,0.125666,0,0
2020-02-27T18:00:00,Veneto,Veneto,109,40,111,4905854,4.905854,22.21835383,22.62603004
2020-02-28T18:00:00,Abruzzo,Abruzzo,1,0,1,1311580,1.31158,0.762439195,0.762439195
2020-02-28T18:00:00,Basilicata,Basilicata,0,0,0,562869,0.562869,0,0
2020-02-28T18:00:00,Calabria,Calabria,1,1,1,1947131,1.947131,0.513576128,0.513576128
